"","C9","I9","C11","I11","C16","I16"
"MSTRG.16374",6.990168,6.382653,7.392947,8.164491,7.291288,8.343349
"MSTRG.16375",0,0,0,0,0,0
"MSTRG.16376",0,0,0.08958,0,0,0
"MSTRG.16377",0,0,0,0,0,0
"MSTRG.16378",0,0,0,0,0.017652,0
"MSTRG.16379",19.562437,20.576141,19.01683,20.014179,14.960433,16.626457
"MSTRG.1638",1.313487,1.4554,1.546102,2.303967,2.052186,2.618578
"MSTRG.16380",0,0,0,0,0,0
"MSTRG.16381",0,0,0,0,0,0
"MSTRG.16382",0,0,0,0,0,0
"MSTRG.16383",0.014373,0,0,0,0,0.011858
"MSTRG.16384",0,0,0,0,0,0
"MSTRG.16385",0.704221,0.78632,0.97528,0.834149,2.980207,3.540561
"MSTRG.16386",8.473831,9.953836,8.91347,9.039311,8.975403,10.720466
"MSTRG.16387",0.030008,0,0,0,0,0
"MSTRG.16388",0,0,0,0,0.009311,0
"MSTRG.16389",0,0,0,0,0.147225,0.281007
"MSTRG.1639",9.076703,10.357162,11.674275,11.320855,2.659457,4.409236
"MSTRG.16390",0,0,0,0,0,0
"MSTRG.16391",0.612258,0.644473,0.193896,0.402589,0.487856,0.646315
"MSTRG.16392",0.339564,0.288874,0.179664,0.137234,0.17674,0.197529
"MSTRG.16393",0.057627,0.075704,0.01458,0.014268,0,0.01363
"MSTRG.16394",37.606217,38.968634,39.707423,43.760188,37.10108,36.97007
"MSTRG.16395",43.77031,47.186613,32.290276,35.299848,51.044738,48.319522
"MSTRG.16396",0.028605,0,0.070118,0,0.04637,0.061976
"MSTRG.16397",0,0,0,0,0,0
"MSTRG.16398",21.329481,26.546348,18.448285,21.87459,18.829601,22.220774
"MSTRG.16399",0,0,0,0,0,0
"MSTRG.164",5.302597,7.868984,4.627856,6.071243,12.956722,13.070198
"MSTRG.1640",0.031149,0.110247,0.082648,0.09592,0,0.107062
"MSTRG.16400",2.323767,2.231255,0.955646,1.021724,1.33286,1.449971
"MSTRG.16401",0,0,0,0,0,0
"MSTRG.16402",0,0.0701,0,0,0,0
"MSTRG.16403",0,0,0,0,0,0
"MSTRG.16404",0,0,0,0,0,0
"MSTRG.16405",0,0,0,0,0,0
"MSTRG.16406",32.935543,32.605019,40.346066,44.034637,49.01461,51.627209
"MSTRG.16407",0,0,0,0,0,0
"MSTRG.16408",72.996689,68.429649,108.640648,115.751366,99.082748,99.455406
"MSTRG.16409",5.736219,7.696876,5.195482,6.396412,8.550574,8.504349
"MSTRG.1641",8.816494,11.147582,7.905207,8.546134,8.604481,9.352389
"MSTRG.16410",0.04549,0.034723,0,0,0,0
"MSTRG.16411",24.054895,26.136099,24.429955,28.629538,27.823274,30.040492
"MSTRG.16412",0,0,0,0,0,0
"MSTRG.16413",0.385263,0.487951,0.167453,0.218771,0.279508,0.399403
"MSTRG.16414",0.056049,0.06552,0.072239,0.055417,0.219472,0.05617
"MSTRG.16415",0,0,0.081304,0,0.159112,0.086984
"MSTRG.16416",32.051734,35.786212,24.977068,28.688722,36.749485,40.668333
"MSTRG.16417",36.773843,40.674491,31.224673,38.977942,29.499098,33.987648
"MSTRG.16418",0.876477,0.475627,0.769438,1.159268,0.804459,0.882549
"MSTRG.16419",0.983872,0.624025,0.698636,0.637057,0.454669,0.211745
"MSTRG.1642",0,0.029926,0.04806,0.04711,0.182951,0.085149
"MSTRG.16420",0,0,0,0.02831,0,0
"MSTRG.16421",0.011224,0.017884,0.010319,0,0,0
"MSTRG.16422",0,0,0,0,0,0.020761
"MSTRG.16423",2.529752,2.41073,2.004228,2.960467,2.922146,2.957329
"MSTRG.16424",0.048499,0,0.0814,0,0,0
"MSTRG.16425",23.318155,25.043692,11.4835,13.390675,31.517094,37.73689
"MSTRG.16426",0.100213,0.054702,0,0.086178,0.091079,0.126126
"MSTRG.16427",0.325761,0.13811,0.216042,0.425175,0.658172,0.644571
"MSTRG.16428",0.29238,0.563072,0.253733,0.222985,0.357894,0.620475
"MSTRG.16429",10.436741,11.692009,7.659651,8.48977,5.311943,5.275023
"MSTRG.1643",0.045787,0,0.086792,0.127617,0.191562,0.154725
"MSTRG.16430",0.218391,0.230183,0.084085,0.068611,0,0
"MSTRG.16431",0,0,0,0,0,0
"MSTRG.16432",3.260044,3.330885,3.244169,4.593256,4.207755,4.529183
"MSTRG.16433",0,0,0,0,0,0
"MSTRG.16434",0.059567,0.045544,0.025473,0,0,0.038259
"MSTRG.16435",2.630434,3.046499,2.475493,3.677611,2.471546,3.397561
"MSTRG.16436",3.754099,4.454582,2.773372,3.780339,2.114054,3.042948
"MSTRG.16437",0,0,0,0,0,0
"MSTRG.16438",9.227595,9.968697,7.803015,9.086624,8.088624,8.404557
"MSTRG.16439",0,0,0,0,0,0
"MSTRG.1644",155.264357,183.557833,153.35937,163.99768,111.538572,141.213258
"MSTRG.16440",0,0,0,0,0,0
"MSTRG.16441",0.029755,0.021651,0.030503,0.012453,0.033311,0.101664
"MSTRG.16442",0,0,0,0,0,0
"MSTRG.16443",0.02651,0,0,0.038609,0.079968,0.056666
"MSTRG.16444",9.305043,7.904695,8.646248,10.216341,78.471885,66.474875
"MSTRG.16445",0.537045,1.305219,0.016903,0.139164,3.560987,2.594476
"MSTRG.16446",15.642038,10.425255,15.968606,18.794706,171.260951,148.780439
"MSTRG.16447",25.655281,24.866859,25.598206,24.592901,19.844322,19.717831
"MSTRG.16448",0,0,0.088339,0,0,0
"MSTRG.16449",0.05143,0.062193,0.06171,0.066307,0.24436,0.311648
"MSTRG.1645",4.412949,5.705772,2.158763,3.942437,3.896953,4.546608
"MSTRG.16450",0.009464,0,0,0,0,0.003966
"MSTRG.16451",0.011567,0,0,0,0,0
"MSTRG.16452",0,0,0,0,0,0
"MSTRG.16453",1.929364,0.924944,1.500676,1.919811,1.026004,1.077806
"MSTRG.16454",19.710486,25.033015,17.644345,19.048233,22.581036,23.697564
"MSTRG.16455",9.605967,13.358851,12.56506,13.524125,14.349971,16.051817
"MSTRG.16456",0.69819,0.578282,0.746893,0.545235,0.741909,0.729941
"MSTRG.16457",0,0.125982,0,0.234546,0.121678,0.192929
"MSTRG.16458",0.114029,0.36976,0,0.31992,0,0.203936
"MSTRG.16459",2.886024,2.71698,1.856745,2.61328,2.931808,3.314936
"MSTRG.1646",7.014772,8.539232,7.685144,9.155892,10.457977,11.240006
"MSTRG.16460",0.053777,0,0,0,0,0
"MSTRG.16461",0,0,0,0,0,0
"MSTRG.16462",0.010316,0.009485,0,0.031642,0.019858,0.016489
"MSTRG.16463",0.884402,0.920663,1.314098,1.268188,0.471148,0.68795
"MSTRG.16464",0,0.019259,0.027384,0.025437,0,0
"MSTRG.16465",35.415536,40.707108,33.730842,37.673322,35.226421,38.217312
"MSTRG.16466",0,0,0,0,0,0
"MSTRG.16467",0,0,0,0,0,0
"MSTRG.16468",0.180311,0.097259,0.078727,0.156383,0.028376,0.046984
"MSTRG.16469",6.061142,8.359015,5.245842,6.029961,1.4214,1.57926
"MSTRG.1647",1939.563572,1888.43084,2183.665985,2193.894867,2880.704819,2741.109005
"MSTRG.16470",3.194763,4.165831,2.372329,2.917223,4.311915,5.325025
"MSTRG.16471",0,0,0,0,0,0
"MSTRG.16472",0,0,0,0,0,0
"MSTRG.16473",0,0,0,0,0,0
"MSTRG.16474",8.247447,9.615056,8.942016,10.447103,7.799405,8.872045
"MSTRG.16475",0.229596,0.190973,0.03807,0.115807,0.109053,0.073979
"MSTRG.16476",0.005831,0,0,0,0,0
"MSTRG.16477",0,0.021651,0,0,0,0
"MSTRG.16478",0,0,0,0,0,0.005692
"MSTRG.16479",0,0,0,0,0,0
"MSTRG.1648",0.081101,0.155809,0.276273,0.286968,0.050253,0.095097
"MSTRG.16480",0,0,0,0,0,0
"MSTRG.16481",0,0.06814,0,0.043021,0,0
"MSTRG.16482",8.301275,9.00138,7.755624,7.469484,5.878665,6.953144
"MSTRG.16483",1.665251,1.669238,0.955301,1.121138,2.216414,1.717832
"MSTRG.16484",1.626279,1.959948,2.176487,3.333812,2.445214,3.218021
"MSTRG.16485",0,0.109267,0.06779,0.083284,0.053722,0.089103
"MSTRG.16486",472.550934,475.690033,497.199249,526.54187,404.627441,407.666199
"MSTRG.16487",6.6515,9.894948,6.20911,7.031384,10.356592,11.918688
"MSTRG.16488",0.239294,0.19806,0.132662,0.184347,0.107013,0.050814
"MSTRG.16489",5.98397,7.202758,5.277155,5.964193,11.826399,11.201307
"MSTRG.1649",16.760325,20.663956,20.741608,21.361238,12.104455,14.323941
"MSTRG.16490",0,0.058,0,0,0,0
"MSTRG.16491",0.638278,0.536355,1.052415,1.106126,0,0.115557
"MSTRG.16492",2.402424,2.526285,2.413736,3.629716,4.523497,6.37492
"MSTRG.16493",2.95768,3.133665,2.299712,3.207078,2.78903,3.272629
"MSTRG.16494",17.075447,20.434734,16.104795,16.514709,22.105058,21.854715
"MSTRG.16495",0.058961,0.048506,0.010338,0.015578,0.038777,0.135802
"MSTRG.16496",9.147401,9.098187,5.808937,5.805516,12.149237,13.153403
"MSTRG.16497",0.03803,0.019521,0,0,0,0.050243
"MSTRG.16498",0,0,0,0,0,0
"MSTRG.16499",0,0,0,0,0,0
"MSTRG.165",0,0.017658,0.021247,0.025342,0,0
"MSTRG.1650",7.403675,8.780793,8.048643,8.315101,3.459351,4.723359
"MSTRG.16500",0,0.060034,0.028036,0,0,0
"MSTRG.16501",0,0,0,0,0,0
"MSTRG.16502",7.161959,7.57065,5.824123,7.918438,6.380764,6.804058
"MSTRG.16503",0,0,0,0,0,0
"MSTRG.16504",0,0,0,0,0,0
"MSTRG.16505",11.530004,16.508451,16.039897,16.776181,13.337344,14.364007
"MSTRG.16506",0.074148,0,0.066397,0.10718,0.050547,0
"MSTRG.16507",90.359229,127.360151,80.56821,83.528057,85.082779,103.975639
"MSTRG.16508",18.424963,24.224766,25.862614,25.598667,19.355133,18.868362
"MSTRG.16509",0.424758,0.490208,0.553792,0.542544,0.802333,1.219956
"MSTRG.1651",66.332123,81.370705,81.969696,82.566978,43.695385,51.334229
"MSTRG.16510",0.495215,0.601738,0.511747,0.59057,0.494387,0.430366
