"","C9","I9","C11","I11","C16","I16"
"MSTRG.26315",0,0,0,0,0,0.078771
"MSTRG.26316",0,0.141304,0,0,0,0
"MSTRG.26317",7.908268,7.97398,9.870398,10.471236,7.849655,8.725565
"MSTRG.26318",50.348573,59.254762,55.342999,59.905855,44.255637,48.544912
"MSTRG.26319",754.090194,942.784557,770.124267,795.699573,892.558035,907.357095
"MSTRG.2632",0,0,0,0,0,0
"MSTRG.26320",78.588801,107.655499,66.037927,65.822291,65.499314,73.107647
"MSTRG.26321",9.847258,13.720583,13.906614,15.057341,12.551072,14.902555
"MSTRG.26322",50.045474,58.272286,62.123346,62.354463,44.091713,47.492084
"MSTRG.26323",15.464943,19.129677,17.996809,18.127052,14.72974,13.998239
"MSTRG.26324",6.536798,8.70894,8.339168,6.910277,7.768534,7.468417
"MSTRG.26325",0.875316,1.450792,1.233462,1.397298,2.829594,3.012428
"MSTRG.26326",4.488385,4.139292,6.177449,6.7084,4.52097,4.19006
"MSTRG.26327",0.70353,1.070189,1.248437,1.057551,4.718848,4.31938
"MSTRG.26328",0,0.077389,0.101467,0.067882,0,0.130457
"MSTRG.26329",43.254112,47.516318,42.461122,43.353425,23.493197,27.579978
"MSTRG.2633",0,0,0,0.00543,0,0
"MSTRG.26330",0.670111,0.481401,0.46047,0.619276,0.579809,0.606564
"MSTRG.26331",1.337553,2.412147,1.764123,2.282696,5.106992,5.247794
"MSTRG.26332",324.787767,359.668736,404.394261,400.476172,466.777111,470.989092
"MSTRG.26333",5.1509,5.263412,5.511996,5.783349,4.401161,4.619705
"MSTRG.26334",13.95526,18.782892,16.354067,18.250646,10.804442,13.021745
"MSTRG.26335",26.609533,28.784481,31.535424,34.539095,16.45565,18.629639
"MSTRG.26336",0.16666,0.103242,0.072199,0.13372,0.029871,0.041486
"MSTRG.26337",0,0.013342,0,0,0,0
"MSTRG.26338",20.106501,28.684951,34.053829,31.212659,23.944905,28.019603
"MSTRG.26339",44.64404,51.600105,41.699388,45.928982,25.112375,29.504899
"MSTRG.2634",2.893225,2.410748,0.476225,0.460311,0.086273,0.071246
"MSTRG.26340",14.749763,19.886956,11.960462,13.961061,9.545344,11.546325
"MSTRG.26341",81.623367,119.894333,85.379822,91.681412,91.299995,95.212914
"MSTRG.26342",0.371549,0.229416,0.270737,0.356285,0.147302,0.19173
"MSTRG.26343",6.622482,6.621554,8.08306,9.748087,8.032868,7.876828
"MSTRG.26344",17.768834,22.62679,20.44948,24.18442,30.088548,30.354725
"MSTRG.26345",0.362266,0.201026,0.047625,0.22526,0.22538,0.1583
"MSTRG.26346",16.675385,24.741486,24.167032,21.957588,18.952339,19.130161
"MSTRG.26347",20.668788,25.820017,26.428403,26.204315,28.13549,29.669329
"MSTRG.26348",4.439523,6.946187,5.865854,6.221311,9.637472,11.167634
"MSTRG.26349",46.476119,58.642188,58.609807,59.539143,64.269173,69.746168
"MSTRG.2635",0,0,0,0,0,0
"MSTRG.26350",0.465548,0.376139,0.465813,0.249965,0.277663,0.345724
"MSTRG.26351",58.4302,66.691837,54.451148,52.609579,43.383458,53.878359
"MSTRG.26352",11.650409,16.936991,12.405884,12.616787,10.676825,12.372479
"MSTRG.26353",0,0,0,0,0,0
"MSTRG.26354",0,0,0,0.040819,0,0
"MSTRG.26355",11.747256,17.149065,14.292074,16.697933,12.576535,16.287137
"MSTRG.26356",244.828352,236.103183,213.34374,209.371501,120.518111,109.983314
"MSTRG.26357",3.861311,4.305646,4.213679,5.793959,7.900702,10.167237
"MSTRG.26358",40.278335,54.77607,45.175986,44.8545,37.738751,40.432283
"MSTRG.26359",6.550568,12.07096,8.991236,9.437242,15.626847,15.591249
"MSTRG.2636",0.812415,0.607917,0,0,0,0
"MSTRG.26360",0.268981,0.617694,0.396708,0.420131,0.343277,0.490259
"MSTRG.26361",1.349303,1.495775,1.531897,1.69625,1.740467,2.333057
"MSTRG.26362",662.339783,635.28302,687.154297,679.857056,533.835388,531.539001
"MSTRG.26363",0.775512,0.99006,0.809022,0.846802,1.448092,1.783523
"MSTRG.26364",0.318533,0,0.187667,0.501283,0.319112,0.433561
"MSTRG.26365",14.958056,15.381577,17.846529,15.950022,13.074402,10.252536
"MSTRG.26366",0.583077,1.171022,0.866646,0.814697,1.891594,2.289657
"MSTRG.26367",26.076247,34.792052,34.515856,32.634084,32.193074,36.615766
"MSTRG.26368",5.803264,6.499413,5.89152,7.082056,6.331408,6.146434
"MSTRG.26369",52.122601,61.260024,69.53524,63.684663,41.164165,41.684325
"MSTRG.2637",4.606471,2.630499,1.259834,0.779824,0.06923,0.065691
"MSTRG.26370",0.859098,1.433479,0.745839,0.970223,0.60534,0.71743
"MSTRG.26371",0,0.278825,0.04055,0.060324,0.09055,0.297604
"MSTRG.26372",7.820461,9.852303,7.654042,8.333382,5.321514,7.267971
"MSTRG.26373",57.756818,76.527628,60.649245,53.921624,35.843123,33.673773
"MSTRG.26374",141.433041,161.29247,171.966607,168.904239,176.798273,184.265852
"MSTRG.26375",19.066474,27.726866,23.742407,22.784941,27.964489,31.792659
"MSTRG.26376",30.941371,38.753716,35.495669,37.121049,34.648239,39.440945
"MSTRG.26377",2.840171,2.889318,2.625308,1.629781,0.485844,0.698348
"MSTRG.26378",222.42555,233.503461,250.218549,265.982543,221.909272,222.309013
"MSTRG.26379",14.946292,19.134961,18.740393,26.207201,13.899762,19.54087
"MSTRG.2638",0.297794,0.022465,0,0,0,0
"MSTRG.26380",89.627013,94.724917,100.435435,98.85746,54.79266,48.875744
"MSTRG.26381",0,0,0,0,0,0.023619
"MSTRG.26382",3.001213,2.809735,1.394051,4.548841,3.00313,3.906211
"MSTRG.26383",18.876702,27.011519,25.508799,26.614818,19.997946,22.97671
"MSTRG.26384",2.181993,4.411203,1.437195,2.426535,3.875456,5.082885
"MSTRG.26385",6.641369,8.201179,8.137371,8.272308,5.691872,7.635063
"MSTRG.26386",7.862463,13.755581,10.270826,9.538718,12.962858,13.833312
"MSTRG.26387",0.217612,0.067241,0.089162,0.064997,0.052643,0.092293
"MSTRG.26388",390.46753,453.787778,494.177142,494.860583,551.014922,545.67914
"MSTRG.26389",0,0,0,0,0,0
"MSTRG.2639",1.681347,1.053978,1.152201,0.200197,0.110935,0.222564
"MSTRG.26390",36.66959,41.5252,47.506866,42.524139,29.119541,29.924728
"MSTRG.26391",18.837379,22.132786,16.66148,17.356354,14.09939,13.927571
"MSTRG.26392",0.211008,0.17274,0.104629,0.387454,0.09243,0
"MSTRG.26393",0,0,0,0,0,0
"MSTRG.26394",20.048296,23.460306,18.07589,18.774893,11.079137,12.419847
"MSTRG.26395",0.983018,1.187227,0.944663,0.871942,0.908866,0.769885
"MSTRG.26396",0,0,0,0,0,0
"MSTRG.26397",1.915446,2.092195,1.462823,1.525722,0.620353,0.636401
"MSTRG.26398",5.370306,10.76738,4.07642,10.337822,5.147449,6.394719
"MSTRG.26399",24.55092,27.117778,24.82815,26.53763,20.268558,20.374028
"MSTRG.264",0,0,0,0,0,0
"MSTRG.2640",0,0,0,0,0,0
"MSTRG.26400",1.597631,1.500596,2.002854,1.150499,1.175599,1.523179
"MSTRG.26401",8.850276,10.979048,8.158841,9.841929,8.754706,10.070803
"MSTRG.26402",1.949067,1.023188,0.632652,1.11476,0.981569,1.188499
"MSTRG.26403",0.08474,0.099702,0.050638,0.28226,0.079514,0.232885
"MSTRG.26404",57.187115,71.553818,70.074577,73.2323,54.390102,53.072754
"MSTRG.26405",16.495796,19.417327,22.044543,21.783065,12.411759,12.407549
"MSTRG.26406",1.036564,0.456442,0.477022,0.672565,1.036734,1.377433
"MSTRG.26407",0.025056,0,0,0,0,0.097092
"MSTRG.26408",0,0,0.029158,0,0.022417,0.039576
"MSTRG.26409",0.882732,1.361024,0.668187,0.940816,1.277196,1.432394
"MSTRG.2641",0,0,0,0,0,0
"MSTRG.26410",89.523723,106.527452,98.451858,104.302734,100.516105,107.466659
"MSTRG.26411",0.066665,0.090825,0.253563,0.275821,0.173831,0.328593
"MSTRG.26412",3.288721,4.766882,5.613263,6.097272,8.799306,9.322935
"MSTRG.26413",10.845489,14.405875,9.144424,10.779117,18.067056,22.937571
"MSTRG.26414",0.550676,0.972222,1.246942,1.416816,1.266002,1.338031
"MSTRG.26415",55.357606,74.066581,75.826401,72.294105,68.63717,76.288347
"MSTRG.26416",9.658053,7.315708,10.589469,15.341762,9.839927,13.501004
"MSTRG.26417",8.958844,11.425072,9.623359,9.920369,8.73859,9.709377
"MSTRG.26418",3.816689,4.317626,4.309511,4.961134,3.814113,4.48091
"MSTRG.26419",4.116032,5.63817,4.025394,5.107287,3.589576,3.88468
"MSTRG.2642",4.034569,4.232921,3.10667,3.497586,4.665839,4.989275
"MSTRG.26420",0.046557,0.05214,0,0.019654,0,0
"MSTRG.26421",6.003464,7.005716,5.329667,6.001834,5.314451,6.264165
"MSTRG.26422",0,0,0,0,0,0
"MSTRG.26423",0,0,0,0.011315,0,0.019925
"MSTRG.26424",0.050798,0,0,0,0,0
"MSTRG.26425",0,0,0,0,0,0
"MSTRG.26426",0,0,0,0,0,0.085441
"MSTRG.26427",0.013067,0,0,0,0,0
"MSTRG.26428",0,0,0,0,0,0
"MSTRG.26429",0.038547,0,0,0,0,0
"MSTRG.2643",7.072639,5.670168,8.314385,5.073534,8.599043,6.8934
"MSTRG.26430",0.026325,0,0,0,0,0
"MSTRG.26431",0,0.052286,0,0,0,0
"MSTRG.26432",0,0,0,0.023216,0,0
"MSTRG.26433",0,0,0,0,0,0
"MSTRG.26434",0,0,0,0,0,0
"MSTRG.26435",0,0,0,0,0,0
"MSTRG.26436",0,0,0,0,0,0
"MSTRG.26437",0,0,0,0,0,0
"MSTRG.26438",0.267943,0.287964,0.295547,0.336046,0.224639,0.340187
"MSTRG.26439",0,0,0,0,0,0
"MSTRG.2644",124.729275,133.732584,110.07653,116.598985,104.534802,105.648056
"MSTRG.26440",0,0,0,0,0,0
"MSTRG.26441",0,0,0,0,0,0
"MSTRG.26442",0,0,0,0,0,0
"MSTRG.26443",2.087568,1.969458,2.253105,3.552135,3.068578,5.512905
"MSTRG.26444",0,0,0,0,0,0
"MSTRG.26445",0,0,0,0,0,0
"MSTRG.26446",11.78513,13.333967,12.093114,13.325635,9.80935,8.811925
"MSTRG.26447",2.698083,5.046409,4.944449,6.827074,5.518585,7.931965
"MSTRG.26448",0.255057,0.237141,0.040249,0.235035,0.282756,0.357894
"MSTRG.26449",17.605011,26.673651,18.91866,20.421052,20.706767,24.499756
"MSTRG.2645",0.467366,0.639668,0.651574,0.73336,0.579435,0.721331
"MSTRG.26450",59.185337,69.225471,48.391534,47.402126,39.124378,51.650087
"MSTRG.26451",0.21444,0.439117,0.23587,0.265658,0.220805,0.196832
"MSTRG.26452",9.647529,14.510464,11.55668,10.199177,11.838198,12.005599
"MSTRG.26453",0,0,0,0,0,0
"MSTRG.26454",0.024455,0.116912,0.286258,0.110773,0.122212,0.116822
"MSTRG.26455",0.117293,0.057324,0.063811,0.060955,0,0
"MSTRG.26456",9.492902,8.403622,7.00975,7.00473,6.885865,9.200333
"MSTRG.26457",0,0,0,0,0,0
"MSTRG.26458",0,0,0,0,0,0
"MSTRG.26459",0.663134,0.716149,0.565042,0.744668,0.725577,0.590526
"MSTRG.2646",90.286674,95.829277,103.369698,113.445076,121.385529,118.854546
"MSTRG.26460",0.230308,0.245437,0.23035,0.232262,0.234981,0.24877
"MSTRG.26461",0,0,0,0.218349,0,0
"MSTRG.26462",0.207134,0.061408,0.169355,0.097748,0.169947,0.139175
"MSTRG.26463",0.60906,0.712974,0.74004,0.804751,0.863906,0.839219
"MSTRG.26464",0,0,0,0,0,0
"MSTRG.26465",0.125842,0.102657,0.060789,0.258047,0.09333,0.135167
"MSTRG.26466",12.831555,13.022383,10.183292,11.591722,12.176567,12.977177
"MSTRG.26467",0,0,0,0,0,0.05056
"MSTRG.26468",0,0,0,0.203268,0,0
"MSTRG.26469",0,0.161147,0,0,0,0.061581
"MSTRG.2647",6.513553,8.493494,11.245323,10.560726,7.402944,6.859903
"MSTRG.26470",4.807982,4.667454,3.144912,4.345988,2.981846,3.215406
"MSTRG.26471",0.246164,0.322383,0.291934,0.421917,0.278574,0.166971
"MSTRG.26472",0.987914,1.377965,1.414119,1.713038,1.040693,1.083559
"MSTRG.26473",0.294428,0.083284,0.221965,0.18386,0.141543,0.026592
"MSTRG.26474",3.127038,3.392978,3.124943,3.035339,1.480861,1.835037
"MSTRG.26475",6.593013,6.408186,4.645021,5.154151,5.289581,5.615081
"MSTRG.26476",0.296837,0.245833,0,0,0,0.124541
"MSTRG.26477",0,0,0,0,0,0
"MSTRG.26478",13.857665,14.306772,11.59396,11.624146,8.458773,9.116468
"MSTRG.26479",0.331997,0.242263,0.268451,0.247989,0.357021,0.213475
"MSTRG.2648",0,0,0,0,0,0
"MSTRG.26480",6.080786,6.816461,4.964467,4.699028,4.120936,3.338962
"MSTRG.26481",0,0,0,0,0,0
"MSTRG.26482",0,0,0,0,0,0
"MSTRG.26483",0.015287,0,0,0,0,0
"MSTRG.26484",0.037199,0,0,0,0.025834,0
"MSTRG.26485",0,0,0,0,0,0
"MSTRG.26486",0.052135,0,0,0,0,0
"MSTRG.26487",0,0,0,0,0,0
"MSTRG.26488",2.872272,3.437245,2.723077,2.753746,2.152882,2.450635
"MSTRG.26489",68.145317,69.572739,73.954109,72.46328,156.984161,145.69162
"MSTRG.2649",33.737565,40.541602,33.004373,36.032295,47.780123,49.546776
"MSTRG.26490",6.116247,7.132298,4.994153,5.835819,3.988222,3.990395
"MSTRG.26491",1.906745,1.921467,1.411823,1.845716,1.159725,1.540528
"MSTRG.26492",0,0,0,0,0,0
"MSTRG.26493",0,0,0,0,0,0
"MSTRG.26494",0,0,0,0,0,0
"MSTRG.26495",1.130582,1.427396,1.386699,1.355563,0.864023,0.840696
"MSTRG.26496",1.733016,3.05223,2.379573,2.578928,4.3726,2.955852
"MSTRG.26497",0,0,0,0,0,0
"MSTRG.26498",0,0,0,0,0,0
"MSTRG.26499",0,0,0,0,0,0
"MSTRG.265",0,0,0,0,0,0
"MSTRG.2650",8.577029,8.521844,8.131027,10.013512,5.099542,5.191027
"MSTRG.26500",0,0,0,0,0,0
"MSTRG.26501",0,0,0,0,0,0
"MSTRG.26502",0.03067,0,0,0,0,0
"MSTRG.26503",0.096548,0.197673,0.13992,0.138508,0.324177,0.220784
"MSTRG.26504",0,0,0.089573,0,0,0
"MSTRG.26505",0.082857,0.163678,0.111857,0.111419,0.230743,0.152153
"MSTRG.26506",0,0,0,0,0,0
"MSTRG.26507",0,0,0,0,0,0
"MSTRG.26508",0,0,0,0,0,0
"MSTRG.26509",0,0,0,0,0,0
"MSTRG.2651",27.280051,29.677535,65.301162,61.802949,27.701932,32.944637
"MSTRG.26510",0,0,0,0,0,0
"MSTRG.26511",0,0,0,0,0,0
"MSTRG.26512",0,0,0,0,0,0
"MSTRG.26513",0,0,0,0,0,0
"MSTRG.26514",0,0,0,0,0,0
"MSTRG.26515",0,0,0,0,0,0
"MSTRG.26516",0,0,0,0,0,0
"MSTRG.26517",0,0,0,0,0,0
"MSTRG.26518",2.45528,2.117892,2.130155,2.677769,2.091334,1.657839
"MSTRG.26519",0.124565,0.273283,0.189661,0.154317,0.308195,0.149692
"MSTRG.2652",0,0,0,0,0,0
"MSTRG.26520",1.0859,0.59002,0.419417,0.810211,0.567964,0.841366
"MSTRG.26521",30.808436,40.798211,22.324145,23.33119,17.029538,24.688043
"MSTRG.26522",32.636335,40.189471,30.874457,32.438746,24.861375,27.000013
"MSTRG.26523",60.703407,83.79586,82.151665,84.804756,58.823006,64.514992
"MSTRG.26524",0.638421,0.192961,0.110008,0,0,0.021956
"MSTRG.26525",0.082305,0.211097,0.034444,0.01904,0,0
"MSTRG.26526",3.919092,4.630826,4.342689,7.819233,1.078019,1.180983
"MSTRG.26527",0.611444,0.977161,0.588463,0.472056,0.336247,0.379993
"MSTRG.26528",70.762355,81.318533,83.059696,84.016956,49.573208,53.763469
"MSTRG.26529",68.582835,70.184985,66.77853,63.764242,64.354902,64.26518
"MSTRG.2653",1.154492,0.528405,0.073782,0.478604,0.700855,0.91569
"MSTRG.26530",1.787159,1.919786,2.701296,2.932723,1.748697,2.948215
"MSTRG.26531",349.387447,340.972778,376.936662,373.023844,145.944475,121.643473
"MSTRG.26532",36.14604,36.269933,40.541024,39.716204,26.724826,23.920787
"MSTRG.26533",26.899949,25.749295,28.266366,26.859315,27.573393,24.107593
"MSTRG.26534",0,0,0,0,0,0
"MSTRG.26535",0,0,0,0,0,0
"MSTRG.26536",0,0,0.003848,0,0,0
"MSTRG.26537",4.741488,4.125634,1.622925,2.130878,1.000729,2.487172
"MSTRG.26538",0,0,0.01478,0,0,0
"MSTRG.26539",0,0,0,0,0,0
"MSTRG.2654",2.141285,1.935189,4.250505,6.360879,8.787705,10.878588
"MSTRG.26540",0,0,0,0,0,0
"MSTRG.26541",0,0,0,0,0,0
"MSTRG.26542",0.021372,0.030793,0.02908,0,0.01566,0.007859
"MSTRG.26543",0.019848,0,0,0,0,0
"MSTRG.26544",0,0.00819,0.010243,0.010394,0,0
"MSTRG.26545",0,0,0,0,0,0
"MSTRG.26546",0,0,0,0,0,0
"MSTRG.26547",0,0,0,0,0,0
"MSTRG.26548",0.418582,0.472475,0,0,0,0
"MSTRG.26549",0,0,0,0,0,0
"MSTRG.2655",5.172789,6.450488,6.912399,6.495041,6.58523,7.636992
"MSTRG.26550",0.088781,0.075779,0.154542,0.280355,0,0.1833
"MSTRG.26551",0.112206,0.13626,0,0,0.068977,0
"MSTRG.26552",0,0,0,0,0,0
"MSTRG.26553",3.57111,3.554367,0.718908,0,0,0
"MSTRG.26554",0.018078,0,0,0,0,0
"MSTRG.26555",0.005782,0,0,0,0,0
"MSTRG.26556",1.489042,1.345248,0.78223,1.95987,0.55076,0.341458
"MSTRG.26557",0.22466,0.212912,0.162322,0.245758,0.110132,0.137255
"MSTRG.26558",0,0,0,0,0,0
"MSTRG.26559",0,0,0,0,0,0
"MSTRG.2656",0.058416,0.098665,0.028728,0.031052,0.03328,0.043376
"MSTRG.26560",0.069266,0.028777,0.086025,0.078259,0.04321,0.039788
"MSTRG.26561",0,0.017942,0,0,0,0
"MSTRG.26562",2.7401,2.369683,2.38484,2.549269,1.824256,2.663273
"MSTRG.26563",0.019451,0,0,0,0,0
"MSTRG.26564",0,0,0,0,0,0
"MSTRG.26565",0.009035,0,0,0,0,0
"MSTRG.26566",1.31866,1.248798,1.392715,1.352383,0.748536,0.714781
"MSTRG.26567",0,0,0,0,0,0
"MSTRG.26568",0.018723,0,0,0,0.012604,0
"MSTRG.26569",0,0,0,0,0,0
"MSTRG.2657",261.335288,285.59876,239.318867,235.891532,361.843113,365.161788
"MSTRG.26570",0.016897,0,0,0,0,0
"MSTRG.26571",0.20278,0.217466,0.357493,0.190207,0.107411,0.086969
"MSTRG.26572",0,0.004461,0.005984,0.002507,0,0
"MSTRG.26573",0.378355,0.383865,0.500138,0.560933,0.253533,0.163362
"MSTRG.26574",0.601901,1.229478,0.430662,0.204235,0.913929,0.834673
"MSTRG.26575",6.814248,6.160147,11.708069,13.511738,19.808552,24.612911
"MSTRG.26576",0.322035,0.354339,0.222561,0.48592,0.25436,0.381998
"MSTRG.26577",43.650467,44.466154,47.374746,48.390847,48.94959,46.478564
"MSTRG.26578",0.040911,0,0,0,0,0.034424
"MSTRG.26579",43.139561,46.141308,47.032127,48.005409,38.898296,40.727139
"MSTRG.2658",0.1639,0,0,0.047327,0,0
"MSTRG.26580",0.256823,0.202597,0.338842,0.415698,0.4295,0.360327
"MSTRG.26581",9.722591,10.816829,9.386711,11.471634,9.131196,8.983801
"MSTRG.26582",7.903918,8.614802,9.326369,8.719407,5.551446,5.705645
"MSTRG.26583",3.49578,4.594385,3.304925,3.981955,5.538508,5.996217
"MSTRG.26584",4.272657,5.843983,5.300001,5.405951,5.259249,6.12159
"MSTRG.26585",3.0534,3.116576,2.747757,3.040982,2.993052,2.582216
"MSTRG.26586",45.386794,53.240034,42.532065,45.851989,48.370185,47.585247
"MSTRG.26587",0,0,0,0,0,0
"MSTRG.26588",4.439578,4.12129,3.485109,4.090866,4.092911,4.324021
"MSTRG.26589",31.94579,43.295874,38.094966,39.947607,33.679978,38.011207
"MSTRG.2659",2.920911,3.084111,2.550906,2.377243,2.260309,2.528519
"MSTRG.26590",18.074518,20.261219,13.194663,15.447838,10.455814,13.886455
"MSTRG.26591",0,0,0,0,0,0
"MSTRG.26592",0,0,0,0,0,0
"MSTRG.26593",1.859459,2.525184,1.890722,2.304795,4.773629,5.168982
"MSTRG.26594",0.248947,0.152184,0.349435,0.119748,0.174571,0.312637
"MSTRG.26595",34.923351,40.835841,34.747613,35.918976,34.137958,35.188712
"MSTRG.26596",65.328122,70.306712,67.088034,67.700353,49.822174,51.698416
"MSTRG.26597",0,0.036161,0,0,0.04911,0.034626
"MSTRG.26598",0.081869,0,0.202764,0.044329,0.151389,0.375454
"MSTRG.26599",18.07881,19.627194,16.511821,18.084119,28.718058,34.55941
"MSTRG.266",0.006803,0,0.000697,0.011463,0.022751,0.018625
"MSTRG.2660",316.42807,324.203796,364.160034,376.824219,260.794647,254.582779
"MSTRG.26600",1.085646,1.51077,1.897656,1.465531,0.317968,0.726381
"MSTRG.26601",0,0,0,0,0.01043,0
"MSTRG.26602",22.119998,23.588944,16.710433,20.78164,21.38493,24.604761
"MSTRG.26603",9.196703,11.592395,5.108691,5.706051,7.844888,9.022903
"MSTRG.26604",0,0,0,0,0,0
"MSTRG.26605",8.157702,7.77782,7.377841,8.515783,4.777602,5.054956
"MSTRG.26606",0.059062,0,0,0,0,0
"MSTRG.26607",5.448304,6.334685,5.95094,6.077308,7.161733,7.111917
"MSTRG.26608",0.198483,0.037265,0,0.091859,0.056849,0.012391
"MSTRG.26609",7.792855,9.911712,6.715935,7.918898,10.236953,12.237864
"MSTRG.2661",8.181605,8.810182,5.850781,6.714715,10.423157,10.608685
"MSTRG.26610",0.130992,0.063092,0.040528,0.057236,0.137983,0.113562
"MSTRG.26611",0,0,0,0,0,0
"MSTRG.26612",27.717945,33.918737,35.462014,40.091256,43.333786,44.561272
"MSTRG.26613",0.280959,0.217545,0.254606,0.090095,0.360446,0.373735
"MSTRG.26614",0.167334,0.268587,0.045415,0.129489,0.40598,0.406313
"MSTRG.26615",1.44373,1.784827,1.461498,1.333472,1.014636,1.498288
"MSTRG.26616",11.912505,13.939859,12.551266,13.18108,9.041858,10.445452
"MSTRG.26617",22.029898,24.604278,18.507925,19.717083,22.098628,26.540293
"MSTRG.26618",19.251417,20.978954,18.421713,18.981945,22.224939,19.713015
"MSTRG.26619",0.256536,0.106933,0.349467,0.177545,0.228463,0.146495
"MSTRG.2662",1.754366,1.596531,0.794596,0.861277,1.421256,1.332269
"MSTRG.26620",19.646036,20.109596,18.20522,19.197677,16.946446,18.237055
"MSTRG.26621",719.779711,825.123153,573.004883,625.347168,699.839905,698.173897
"MSTRG.26622",1.504527,1.516189,1.391912,1.606991,0.977376,1.127152
"MSTRG.26623",0.069123,0,0,0,0.060956,0.139634
"MSTRG.26624",0,0.015244,0,0,0,0.056686
"MSTRG.26625",0.01366,0,0.007497,0,0,0
"MSTRG.26626",0.551497,0.817873,0.654072,0.274033,0.37659,0.17358
"MSTRG.26627",13.665062,18.689342,12.29667,12.65578,19.603762,20.815897
"MSTRG.26628",0.032567,0.070428,0.021542,0.053154,0.163229,0.183275
"MSTRG.26629",0.115248,0.222336,0.120212,0.095799,0.322225,0.233238
"MSTRG.2663",67.55645,75.986777,75.166773,74.27056,51.11792,51.850547
"MSTRG.26630",0,0,0,0,0.145192,0
"MSTRG.26631",0.168936,0.23264,0.1635,0.303821,0.647545,0.502576
"MSTRG.26632",0,0,0,0,0,0
"MSTRG.26633",1.000136,1.296127,1.312102,2.18482,2.990319,2.817075
"MSTRG.26634",0.768635,1.186214,0.714623,0.670555,1.168748,1.646809
"MSTRG.26635",0.009409,0.004084,0.00809,0.004103,0,0.005748
"MSTRG.26636",0.026923,0,0,0,0.106718,0.225923
"MSTRG.26637",0,0,0,0,0.078301,0
"MSTRG.26638",2.489034,2.520972,1.876019,2.022405,4.126942,4.552292
"MSTRG.26639",0,0,0,0,0,0
"MSTRG.2664",0,0,0,0,0,0
"MSTRG.26640",80.396385,85.646633,84.558632,79.375652,44.840801,46.73807
"MSTRG.26641",0.234202,0.460498,0.108007,0.01883,0.146322,0.188255
"MSTRG.26642",1.397306,1.071229,1.111525,1.860195,1.559591,1.659469
"MSTRG.26643",0.159591,0.186642,0.183221,0.146796,0.149648,0.296417
"MSTRG.26644",0,0,0,0,0,0
"MSTRG.26645",14.321111,15.920534,14.835244,15.884146,11.259537,12.588381
"MSTRG.26646",19.714099,27.308864,18.263647,19.448309,20.147887,21.476971
"MSTRG.26647",10.295176,10.504457,8.578131,7.635089,7.909787,6.679084
"MSTRG.26648",0.568578,0.341136,0.51711,0.379455,0.433549,0.56773
"MSTRG.26649",0.648481,0.103551,0,0.566839,0,0.066906
"MSTRG.2665",0,0,0,0,0,0
"MSTRG.26650",0.335419,0.399423,0.480321,0.678315,0.15738,0.248091
"MSTRG.26651",0.05947,0.114816,0.249386,0.175928,0.060787,0
"MSTRG.26652",87.236944,99.169568,93.395452,95.211044,70.580796,73.016754
"MSTRG.26653",0.011909,0.050611,0,0,0,0.013039
"MSTRG.26654",2.790327,2.743422,3.977054,2.773996,1.174649,1.499992
"MSTRG.26655",0,0,0,0,0,0
"MSTRG.26656",4.310525,4.320959,3.537721,4.256352,3.222183,3.393005
"MSTRG.26657",0.046736,0.057436,0,0.045994,0,0.058608
"MSTRG.26658",0,0,0,0,0,0
"MSTRG.26659",0.03276,0,0,0,0.057403,0
"MSTRG.2666",18.659403,16.841377,18.797096,26.456202,30.19861,33.554783
"MSTRG.26660",0,0,0,0,0,0
"MSTRG.26661",32.243488,35.732002,41.703861,38.059452,31.529428,34.183895
"MSTRG.26662",0.147506,0.277673,0.090195,0.120043,0.272179,0.25635
"MSTRG.26663",6.845061,7.673381,8.232206,8.321001,9.763386,10.445353
"MSTRG.26664",13.669029,17.216023,13.294113,14.857541,20.385243,22.508708
"MSTRG.26665",0,0,0,0.01521,0,0
"MSTRG.26666",17.845027,19.20147,15.270158,19.014527,17.268875,19.686897
"MSTRG.26667",10.431137,10.64238,9.667509,8.778321,8.024638,9.483101
"MSTRG.26668",0,0,0,0,0,0
"MSTRG.26669",16.907335,21.540181,15.45306,17.806222,17.128221,19.790109
"MSTRG.2667",4.601643,5.294866,2.828466,3.210826,4.333295,5.508554
"MSTRG.26670",0.021676,0,0.0216,0.063088,0.060552,0.049486
"MSTRG.26671",166.190023,187.8059,220.31451,226.812777,227.333787,233.164477
"MSTRG.26672",0.516247,0.66407,0.169956,0.32632,0.809763,0.81771
"MSTRG.26673",0,0.017505,0,0,0,0
"MSTRG.26674",0,0,0,0,0,0
"MSTRG.26675",0,0,0,0,0,0
"MSTRG.26676",2.222705,2.326312,1.562141,2.175725,2.239524,2.93853
"MSTRG.26677",12.916604,14.889446,11.101872,14.590093,13.405271,17.080482
"MSTRG.26678",7.262107,8.801881,4.563255,4.861639,2.96819,3.726067
"MSTRG.26679",0,0,0,0,0,0
"MSTRG.2668",0.137742,0.074986,0.047894,0.022459,0.01357,0
"MSTRG.26680",0.040367,0,0,0.022396,0,0
"MSTRG.26681",0,0,0,0,0,0
"MSTRG.26682",0,0,0,0,0,0
"MSTRG.26683",20.443936,21.545849,19.931662,22.07215,17.840512,17.845091
"MSTRG.26684",0,0,0,0.073811,0,0.222674
"MSTRG.26685",0.013356,0,0,0,0,0
"MSTRG.26686",0,0,0,0,0,0
