,gene_id,TPM_C9,TPM_I9,TPM_C11,TPM_I11,TPM_C16,TPM_I16,TPM_Islet24h_1,TPM_Islet24h_2,TPM_Islet24h_3,TPM_Liver_1,TPM_Liver_2,TPM_Liver_3,TPM_Brain_1,TPM_Brain_2,TPM_Brain_3
26692,MSTRG.4632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280637,4.68525,2.156865
26694,MSTRG.4634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.801281,9.719616,6.381254
26695,MSTRG.4635,0.108821,0.176463,0.17677400000000001,0.156148,1.507023,1.51282,0.530402,0.180228,0.46052299999999996,0.0,0.0,0.0,44.802306,46.266645,71.177674
26696,MSTRG.4636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.134724,2.780201,1.138677
26699,MSTRG.4639,0.0,0.011637999999999999,0.0,0.077017,0.018236000000000002,0.0,0.013675,0.017166,0.0,0.0,0.044895,0.008953000000000001,63.048778000000006,75.28552900000001,132.06629700000002
26701,MSTRG.4640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.620153,6.111499,133.38280699999999
26702,MSTRG.4641,0.090706,0.065108,0.09422799999999999,0.057816,0.18019000000000002,0.26172399999999996,0.017480000000000002,0.02396,0.024877,0.0,0.0,0.0,29.694522,33.48401,52.78991899999999
26705,MSTRG.4644,2.320364,4.18268,3.8463849999999997,3.312899,3.1414400000000002,3.520403,0.095147,0.593594,0.1258,0.119999,0.068732,0.175274,3.202312,4.050892,4.616103
26706,MSTRG.4645,14.024644,18.952198000000003,17.500465,16.851923,15.422216,16.767715,8.483786,6.197875,5.922543,4.907038,5.418116,4.156489,6.059196,5.840112,7.34427
26708,MSTRG.4647,1.4646489999999999,1.395913,1.391466,2.055402,0.47052700000000003,1.004787,0.28991999999999996,0.144602,0.228897,0.6616890000000001,0.638959,1.133492,1.371428,2.218055,2.615444
26710,MSTRG.4649,0.335337,0.378166,0.5079100000000001,0.776197,0.608302,0.7792020000000001,0.179922,0.218683,0.178508,0.145833,0.122698,0.152221,1.431066,1.180605,2.242524
